Data,Species,ProBiomassInitial,Deployed,Sampled,Quadrant,Week,Block,Location,ProDivTrtType,ProDivTrtRich,ProDivTrtID,CfBiomass,GtBiomass,GvBiomass,GgBiomass,ProBiomass,Amphipods,Bivalves,Caprellids,Gastropods,Isopods,Megalopae,NonXanthidCrabs,Polychaetes,Pycnogonids,Shrimps,XanthidCrabs,Others,ConAbund,ConBiomass,ConDivRich
Part,Gg,5,6/14/12,6/21/12,1,1,24,18,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,24,18,Poly,3,NM,NA,NA,NA,NA,9.33,81,0,1,8,0,0,0,0,0,0,0,0,90,0.027,3
Part,Cf,5,6/14/12,6/21/12,1,1,25,24,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/21/12,1,1,25,24,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,25,24,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,25,24,Poly,3,NM,NA,NA,NA,NA,6.85,55,0,3,7,3,1,0,0,0,0,0,0,69,0.023,5
Part,Cf,5,6/14/12,6/21/12,1,1,26,25,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/21/12,1,1,26,25,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,26,25,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,26,25,Poly,3,IM,NA,NA,NA,NA,13.43,107,0,2,24,0,0,0,0,0,0,1,0,134,0.07,4
Part,Cf,5,6/14/12,6/21/12,1,1,27,4,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/21/12,1,1,27,4,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,27,4,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,27,4,Poly,3,IM,NA,NA,NA,NA,7.78,31,0,3,25,5,1,0,0,0,0,0,0,65,0.066,5
Part,Cf,5,6/14/12,6/21/12,1,1,28,14,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/21/12,1,1,28,14,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,28,14,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,28,14,Poly,3,IM,NA,NA,NA,NA,11.15,100,0,3,21,3,0,0,1,0,0,2,0,130,0.07,6
Part,Cf,5,6/14/12,6/21/12,1,1,29,1,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/21/12,1,1,29,1,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,29,1,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,29,1,Poly,3,IM,NA,NA,NA,NA,9.33,121,2,5,28,0,0,0,0,0,0,0,0,156,0.065,4
Part,Cf,5,6/14/12,6/21/12,1,1,30,34,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/21/12,1,1,30,34,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,30,34,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,30,34,Poly,3,IM,NA,NA,NA,NA,13.39,111,0,1,47,3,0,0,0,0,0,3,0,165,0.075,5
Part,Cf,3.75,6/14/12,6/21/12,1,1,31,6,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,3.75,6/14/12,6/21/12,1,1,31,6,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,3.75,6/14/12,6/21/12,1,1,31,6,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,3.75,6/14/12,6/21/12,1,1,31,6,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,31,6,Poly,4,CM,NA,NA,NA,NA,9.4,53,0,1,31,0,0,0,0,0,0,0,0,85,0.062,3
Part,Cf,3.75,6/14/12,6/21/12,1,1,32,31,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,3.75,6/14/12,6/21/12,1,1,32,31,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,3.75,6/14/12,6/21/12,1,1,32,31,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,3.75,6/14/12,6/21/12,1,1,32,31,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,32,31,Poly,4,CM,NA,NA,NA,NA,9.23,64,0,2,19,2,0,0,1,0,0,0,0,88,0.031,5
Part,Cf,3.75,6/14/12,6/21/12,1,1,33,15,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,3.75,6/14/12,6/21/12,1,1,33,15,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,3.75,6/14/12,6/21/12,1,1,33,15,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,3.75,6/14/12,6/21/12,1,1,33,15,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,33,15,Poly,4,CM,NA,NA,NA,NA,12.3,104,0,3,15,1,0,0,3,1,0,0,0,127,0.867,6
Part,Cf,3.75,6/14/12,6/21/12,1,1,34,13,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,3.75,6/14/12,6/21/12,1,1,34,13,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,3.75,6/14/12,6/21/12,1,1,34,13,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,3.75,6/14/12,6/21/12,1,1,34,13,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,34,13,Poly,4,CM,NA,NA,NA,NA,5.8,17,0,2,5,4,0,0,0,0,0,0,0,28,0.008,4
Part,Cf,3.75,6/14/12,6/21/12,1,1,35,20,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,3.75,6/14/12,6/21/12,1,1,35,20,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,3.75,6/14/12,6/21/12,1,1,35,20,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,3.75,6/14/12,6/21/12,1,1,35,20,Poly,4,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,35,20,Poly,4,CM,NA,NA,NA,NA,9.7,78,1,0,41,1,0,0,1,1,0,0,0,123,0.112,6
Sum,Cf,15,6/14/12,6/28/12,2,2,1,28,Mono,1,Cf,24.38,NA,NA,NA,24.38,4,0,0,27,0,0,0,0,0,0,0,0,31,0.061,2
Sum,Cf,15,6/14/12,6/28/12,2,2,2,26,Mono,1,Cf,15.95,NA,NA,NA,15.95,2,0,0,7,0,0,0,1,0,0,0,0,10,0.012,3
Sum,Cf,15,6/14/12,6/28/12,2,2,3,12,Mono,1,Cf,27.95,NA,NA,NA,27.95,4,0,0,13,0,0,0,0,0,0,1,0,18,0.037,3
Sum,Cf,15,6/14/12,6/28/12,2,2,4,21,Mono,1,Cf,9.84,NA,NA,NA,9.84,4,0,0,17,0,0,0,1,0,0,1,0,23,0.042,4
Sum,Cf,15,6/14/12,6/28/12,2,2,5,33,Mono,1,Cf,19.45,NA,NA,NA,19.45,4,0,0,6,0,0,0,0,0,0,0,0,10,0.019,2
Sum,Gt,15,6/14/12,6/28/12,2,2,6,29,Mono,1,Gt,NA,14.42,NA,NA,14.42,19,1,1,25,1,0,0,4,0,0,0,0,51,0.061,6
Sum,Gt,15,6/14/12,6/28/12,2,2,7,17,Mono,1,Gt,NA,5.62,NA,NA,5.62,7,0,0,6,2,0,0,0,0,0,0,0,15,0.011,3
Sum,Gt,15,6/14/12,6/28/12,2,2,8,3,Mono,1,Gt,NA,6.13,NA,NA,6.13,4,0,0,9,0,1,0,0,0,0,0,0,14,0.015,3
Sum,Gt,15,6/14/12,6/28/12,2,2,9,2,Mono,1,Gt,NA,8.7,NA,NA,8.7,5,0,0,12,3,0,0,0,0,0,0,0,20,0.029,3
Sum,Gt,15,6/14/12,6/28/12,2,2,10,5,Mono,1,Gt,NA,6.15,NA,NA,6.15,22,0,0,13,6,0,0,1,0,0,0,0,42,0.045,4
Sum,Gv,15,6/14/12,6/28/12,2,2,11,23,Mono,1,Gv,NA,NA,19.44,NA,19.44,68,0,1,74,2,1,0,1,0,0,2,0,149,0.251,7
Sum,Gv,15,6/14/12,6/28/12,2,2,12,11,Mono,1,Gv,NA,NA,19.45,NA,19.45,26,0,0,50,5,0,0,2,0,0,0,0,83,0.119,4
Sum,Gv,15,6/14/12,6/28/12,2,2,13,27,Mono,1,Gv,NA,NA,18.03,NA,18.03,90,0,3,45,5,1,0,1,0,0,0,0,145,0.13,6
Sum,Gv,15,6/14/12,6/28/12,2,2,14,32,Mono,1,Gv,NA,NA,17.45,NA,17.45,52,0,1,82,3,1,0,3,0,0,0,0,142,0.229,6
Sum,Gv,15,6/14/12,6/28/12,2,2,15,19,Mono,1,Gv,NA,NA,9.01,NA,9.01,18,0,0,16,9,0,0,3,0,0,0,0,46,0.035,4
Sum,Gg,15,6/14/12,6/28/12,2,2,16,9,Mono,1,Gg,NA,NA,NA,12.62,12.62,108,5,1,50,11,0,0,2,0,0,0,0,177,0.128,6
Sum,Gg,15,6/14/12,6/28/12,2,2,17,16,Mono,1,Gg,NA,NA,NA,8.28,8.28,59,1,1,26,3,1,0,3,0,0,0,0,94,0.057,7
Sum,Gg,15,6/14/12,6/28/12,2,2,18,22,Mono,1,Gg,NA,NA,NA,9.04,9.04,124,2,3,63,1,2,0,2,0,0,2,0,199,0.298,8
Sum,Gg,15,6/14/12,6/28/12,2,2,19,10,Mono,1,Gg,NA,NA,NA,14.93,14.93,86,0,4,85,1,0,0,6,0,0,1,0,183,0.22,6
Sum,Gg,15,6/14/12,6/28/12,2,2,20,30,Mono,1,Gg,NA,NA,NA,15.7,15.7,144,3,3,70,2,1,0,2,0,0,3,0,228,0.233,8
Part,Cf,5,6/14/12,6/28/12,2,2,21,8,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/28/12,2,2,21,8,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,21,8,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,21,8,Poly,3,NM,NA,NA,NA,NA,14.99,36,1,0,39,2,0,0,0,0,0,1,0,79,0.105,5
Part,Cf,5,6/14/12,6/28/12,2,2,22,35,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/28/12,2,2,22,35,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,22,35,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,22,35,Poly,3,NM,NA,NA,NA,NA,13.9,93,1,2,18,1,1,0,2,0,0,1,0,119,0.053,8
Part,Cf,5,6/14/12,6/28/12,2,2,23,7,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/28/12,2,2,23,7,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,23,7,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,23,7,Poly,3,NM,NA,NA,NA,NA,13.27,24,0,0,16,2,0,0,0,0,0,1,0,43,0.052,4
Part,Cf,5,6/14/12,6/28/12,2,2,24,18,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/28/12,2,2,24,18,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,24,18,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,24,18,Poly,3,NM,NA,NA,NA,NA,13.21,38,1,0,44,7,1,0,1,0,0,0,0,92,0.107,6
Part,Cf,5,6/14/12,6/28/12,2,2,25,24,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/28/12,2,2,25,24,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,25,24,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,25,24,Poly,3,NM,NA,NA,NA,NA,12.5,17,1,0,48,5,0,0,0,0,0,1,0,72,0.222,5
Part,Cf,5,6/14/12,6/28/12,2,2,26,25,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/28/12,2,2,26,25,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,26,25,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,26,25,Poly,3,IM,NA,NA,NA,NA,15.84,39,1,1,57,9,1,0,0,0,0,0,0,108,0.143,6
Part,Cf,5,6/14/12,6/28/12,2,2,27,4,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/28/12,2,2,27,4,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,27,4,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,27,4,Poly,3,IM,NA,NA,NA,NA,10.05,12,0,1,33,4,1,0,2,0,0,0,0,53,0.083,6
Part,Cf,5,6/14/12,6/28/12,2,2,28,14,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/28/12,2,2,28,14,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,28,14,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,28,14,Poly,3,IM,NA,NA,NA,NA,12.25,9,0,0,36,2,0,0,2,0,0,0,0,49,0.092,4
Part,Cf,5,6/14/12,6/28/12,2,2,29,1,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/28/12,2,2,29,1,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,29,1,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,29,1,Poly,3,IM,NA,NA,NA,NA,31.62,43,5,2,72,5,1,0,2,0,0,0,0,130,0.196,7
Part,Cf,5,6/14/12,6/28/12,2,2,30,34,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gv,5,6/14/12,6/28/12,2,2,30,34,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/28/12,2,2,30,34,Poly,3,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/28/12,2,2,30,34,Poly,3,IM,NA,NA,NA,NA,16.46,37,0,4,23,3,3,0,1,0,0,0,0,71,0.058,6
